title,url
Poggun Oppaga Ses Ilaeyo - My Three Tyrant Brothers,https://mangalivre.net/manga/poggun-oppaga-ses-ilaeyo---my-three-tyrant-brothers/12538
Hyakuman-jou Labyrinth,https://mangalivre.net/manga/hyakuman-jou-labyrinth/12808
Capeta,https://mangalivre.net/manga/capeta/2766
Kimi wo Mae ni shitara Ore wa mou... Nikushokuha Danshi no Junjou na Yokujou,https://mangalivre.net/manga/kimi-wo-mae-ni-shitara-ore-wa-mou-nikushokuha-danshi-no-junjou-na-yokujou/13828
Fechippuru - Sankaku Kankei,https://mangalivre.net/manga/fechippuru---sankaku-kankei/9709
Reformation of the Deadbeat Noble,https://mangalivre.net/manga/reformation-of-the-deadbeat-noble/12793
Ekijin no Karte,https://mangalivre.net/manga/ekijin-no-karte/12816
Tsuyokute New Saga,https://mangalivre.net/manga/tsuyokute-new-saga/1774
Sanda,https://mangalivre.net/manga/sanda/13758
Summer Christmas (One Shot),https://mangalivre.net/manga/summer-christmas-one-shot/14299
29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta.,https://mangalivre.net/manga/29-sai-dokushin-wa-isekai-de-jiyuu-ni-ikita-katta-/8325
Tensei shitara Slime Datta Ken,https://mangalivre.net/manga/tensei-shitara-slime-datta-ken/2692
Paeseupaindeo - Pathfinder,https://mangalivre.net/manga/paeseupaindeo---pathfinder/12741
Yumemiru Danshi wa Genjitsushugisa,https://mangalivre.net/manga/yumemiru-danshi-wa-genjitsushugisa/13159
"Ichiokunen Button o Rendashita Ore wa, Kidzuitara Saikyou ni Natteita ~Rakudai Kenshi no Gakuin Musou~",https://mangalivre.net/manga/ichiokunen-button-o-rendashita-ore-wa-kidzuitara-saikyou-ni-natteita-rakudai-kenshi-no-gakuin-musou/9780
Boroboro no Elf-san wo Shiawaseni Suru Kusuri Uri-san,https://mangalivre.net/manga/boroboro-no-elf-san-wo-shiawaseni-suru-kusuri-uri-san/13553
Gwisin Boneun Gongjagbu-in - The Duchess Who Sees Ghosts,https://mangalivre.net/manga/gwisin-boneun-gongjagbu-in---the-duchess-who-sees-ghosts/13226
Gunbured x Sisters,https://mangalivre.net/manga/gunbured-x-sisters/10729
"Lord, It Doesn't Matter",https://mangalivre.net/manga/lord-it-doesnt-matter/11395
Battle Frenzy,https://mangalivre.net/manga/battle-frenzy/9002
Starting From Today I’ll Work As A City Lord,https://mangalivre.net/manga/starting-from-today-ill-work-as-a-city-lord/11018
Strongest Hired Son-In-Law,https://mangalivre.net/manga/strongest-hired-son-in-law/11202
Survive On A Deserted Island With Beautiful Girls,https://mangalivre.net/manga/survive-on-a-deserted-island-with-beautiful-girls/11255
Rebirth of Abandoned Young Master,https://mangalivre.net/manga/rebirth-of-abandoned-young-master/9443
The Lady and the Beast,https://mangalivre.net/manga/the-lady-and-the-beast/10749
Senpai ga Urusai Kouhai no Hanashi,https://mangalivre.net/manga/senpai-ga-urusai-kouhai-no-hanashi/7272
The Duchess' 50 Tea Recipes,https://mangalivre.net/manga/the-duchess-50-tea-recipes/10288
Midnight Poppy Land,https://mangalivre.net/manga/midnight-poppy-land/9082
Genshin Impact Comic Anthology,https://mangalivre.net/manga/genshin-impact-comic-anthology/12253
Harukana Receive,https://mangalivre.net/manga/harukana-receive/9479
Erma,https://mangalivre.net/manga/erma/10077
Daegun Eulo Sal Eolilasda - I Shall Live as a Prince,https://mangalivre.net/manga/daegun-eulo-sal-eolilasda---i-shall-live-as-a-prince/12688
I Am an Invincible Genius,https://mangalivre.net/manga/i-am-an-invincible-genius/11028
I Didn't Mean to Seduce the Male Lead,https://mangalivre.net/manga/i-didnt-mean-to-seduce-the-male-lead/13393
Bring the Love,https://mangalivre.net/manga/bring-the-love/9876
Coffee & Vanilla,https://mangalivre.net/manga/coffee-vanilla/6135
Under the Oak Tree,https://mangalivre.net/manga/under-the-oak-tree/10682
How to Stop the Tyrant's Blackening,https://mangalivre.net/manga/how-to-stop-the-tyrants-blackening/14316
Akebi-chan no Sailor-fuku,https://mangalivre.net/manga/akebi-chan-no-sailor-fuku/13156
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,https://mangalivre.net/manga/umineko-no-naku-koro-ni-chiru---episode-7-requiem-of-the-golden-witch/13327
Higurashi no Naku Koro ni Kai: Minagoroshi-hen,https://mangalivre.net/manga/higurashi-no-naku-koro-ni-kai-minagoroshi-hen/14277
Totsukuni no Shoujo,https://mangalivre.net/manga/totsukuni-no-shoujo/4275
Fool Night,https://mangalivre.net/manga/fool-night/14314
Persona 3,https://mangalivre.net/manga/persona-3/4385
No Guns Life,https://mangalivre.net/manga/no-guns-life/3497
Bungou Stray Dogs: STORM BRINGER (Novel),https://mangalivre.net/manga/bungou-stray-dogs-storm-bringer-novel/13043
Koroshi Ai,https://mangalivre.net/manga/koroshi-ai/7952
Kujira no Kora wa Sajou ni Utau,https://mangalivre.net/manga/kujira-no-kora-wa-sajou-ni-utau/6701
My Breath Is Stronger,https://mangalivre.net/manga/my-breath-is-stronger/13978
Apocalyptic Thief,https://mangalivre.net/manga/apocalyptic-thief/13503
The Eternal Supreme,https://mangalivre.net/manga/the-eternal-supreme/12862
The Book Eating Magician,https://mangalivre.net/manga/the-book-eating-magician/13237
